 Nascidos vivos - Brasil;;;;;;;;;;
Nascim p/resid.mãe por Município e Instrução da mãe;;;;;;;;;;
Período:2000-2022;;;;;;;;;;
Município;Nenhuma;1 a 3 anos;4 a 7 anos;8 a 11 anos;12 anos e mais;9 a 11 anos;1º grau incompleto;1º grau completo;Ignorado;Total
 MUNICIPIO IGNORADO - RO;9;35;55;31;7;-;-;-;2;139
110001 ALTA FLORESTA D'OESTE;170;1470;3598;3353;1154;-;-;-;338;10083
110002 ARIQUEMES;405;3171;12293;16548;5532;-;-;-;877;38826
110003 CABIXI;24;176;628;976;241;-;-;-;31;2076
110004 CACOAL;356;1959;8133;15257;5826;-;-;-;171;31702
110005 CEREJEIRAS;34;374;1944;2637;1082;-;-;-;93;6164
110006 COLORADO DO OESTE;35;314;1730;2690;1193;-;-;-;159;6121
110007 CORUMBIARA;20;232;1059;1132;280;-;-;-;67;2790
110008 COSTA MARQUES;117;621;2313;2344;412;-;-;-;106;5913
110009 ESPIGAO D'OESTE;223;1214;4159;4144;1327;-;-;-;406;11473
110010 GUAJARA-MIRIM;231;1680;7549;8399;1839;-;2;-;344;20044
110011 JARU;230;2132;6655;9303;2748;-;1;1;392;21462
110012 JI-PARANA;556;2915;13616;21634;7448;-;6;-;2109;48284
110013 MACHADINHO D'OESTE;185;1393;4700;4201;1087;-;1;-;779;12346
110014 NOVA BRASILANDIA D'OESTE;88;862;2460;3108;659;-;-;-;73;7250
110015 OURO PRETO DO OESTE;121;945;4519;6226;2049;-;-;-;253;14113
110018 PIMENTA BUENO;98;896;4199;6460;2195;-;2;-;101;13951
110020 PORTO VELHO;1540;9023;54272;82429;27101;-;29;1;12533;186928
110025 PRESIDENTE MEDICI;62;1205;1943;2779;794;-;-;-;175;6958
110026 RIO CRESPO;8;79;367;398;86;-;-;-;24;962
110028 ROLIM DE MOURA;124;1114;5663;9509;3795;-;-;-;203;20408
110029 SANTA LUZIA D'OESTE;33;310;897;1228;364;-;-;-;44;2876
110030 VILHENA;192;852;6924;17156;6056;-;-;-;332;31512
110032 SAO MIGUEL DO GUAPORE;66;1084;2577;3324;898;-;-;-;96;8045
110033 NOVA MAMORE;104;798;3541;3721;671;-;-;-;205;9040
110034 ALVORADA D'OESTE;73;603;2089;2517;600;-;-;-;116;5998
110037 ALTO ALEGRE DOS PARECIS;57;495;1504;1427;368;-;-;-;58;3909
110040 ALTO PARAISO;92;654;2207;2133;413;-;-;-;122;5621
110045 BURITIS;172;1689;5774;5524;1330;-;-;-;216;14705
110050 NOVO HORIZONTE DO OESTE;41;333;1044;1231;313;1;-;-;26;2989
110060 CACAULANDIA;31;195;651;673;194;-;-;-;65;1809
110070 CAMPO NOVO DE RONDONIA;61;525;1451;1399;277;-;-;-;66;3779
110080 CANDEIAS DO JAMARI;65;400;2449;3049;468;-;-;-;234;6665
110090 CASTANHEIRAS;12;140;408;482;109;-;-;-;10;1161
110092 CHUPINGUAIA;33;159;868;1576;312;-;-;-;36;2984
110094 CUJUBIM;98;552;1774;1807;333;-;-;-;96;4660
110100 GOVERNADOR JORGE TEIXEIRA;44;512;1235;1264;259;-;-;-;87;3401
110110 ITAPUA DO OESTE;27;245;942;962;182;-;-;-;82;2440
110120 MINISTRO ANDREAZZA;39;311;1055;1106;285;-;-;-;17;2813
110130 MIRANTE DA SERRA;70;636;1842;1557;318;-;-;-;193;4616
110140 MONTE NEGRO;122;669;2035;1799;426;-;-;-;161;5212
110143 NOVA UNIAO;22;247;924;921;158;-;-;-;56;2328
110145 PARECIS;18;161;557;578;105;-;-;-;16;1435
110146 PIMENTEIRAS DO OESTE;15;86;370;486;97;-;-;-;15;1069
110147 PRIMAVERA DE RONDONIA;6;96;442;457;181;-;-;-;4;1186
110148 SAO FELIPE D'OESTE;15;162;635;679;234;-;-;-;14;1739
110149 SAO FRANCISCO DO GUAPORE;71;595;1976;2783;598;-;-;-;218;6241
110150 SERINGUEIRAS;62;532;1518;1796;314;-;-;-;46;4268
110155 TEIXEIROPOLIS;12;129;505;585;151;-;-;-;30;1412
110160 THEOBROMA;46;475;1114;1149;275;-;-;-;47;3106
110170 URUPA;43;364;1541;1387;341;-;1;-;116;3793
110175 VALE DO ANARI;44;307;901;810;215;-;-;-;40;2317
110180 VALE DO PARAISO;32;217;853;872;193;-;-;-;45;2212
 MUNICIPIO IGNORADO - AC;-;1;5;5;-;-;-;-;2;13
120001 ACRELANDIA;223;792;1905;1893;439;1;-;3;54;5310
120005 ASSIS BRASIL;948;814;1354;1100;249;-;-;-;652;5117
120010 BRASILEIA;741;2106;3547;3662;885;-;-;2;776;11719
120013 BUJARI;136;484;1573;1634;308;-;-;-;42;4177
120017 CAPIXABA;247;638;1478;1438;260;-;-;-;56;4117
120020 CRUZEIRO DO SUL;7860;4292;8001;17012;5090;-;-;-;733;42988
120025 EPITACIOLANDIA;260;1003;1972;2193;570;-;-;-;484;6482
120030 FEIJO;2889;2668;4666;4743;1016;-;-;-;1077;17059
120032 JORDAO;389;1164;1487;1081;103;-;-;-;226;4450
120033 MANCIO LIMA;842;954;2239;3543;736;-;-;-;331;8645
120034 MANOEL URBANO;986;833;1522;1092;135;-;-;-;336;4904
120035 MARECHAL THAUMATURGO;1571;1595;2561;2594;382;-;-;-;253;8956
120038 PLACIDO DE CASTRO;444;1187;2791;2651;559;-;-;-;105;7737
120039 PORTO WALTER;1218;1534;1535;1881;230;-;-;-;157;6555
120040 RIO BRANCO;3816;17385;44648;63831;26371;-;-;-;1587;157638
120042 RODRIGUES ALVES;1574;1651;2269;2795;463;-;-;-;364;9116
120043 SANTA ROSA DO PURUS;1166;613;922;544;73;-;-;-;209;3527
120045 SENADOR GUIOMARD;287;1094;2937;3144;858;-;-;-;108;8428
120050 SENA MADUREIRA;2573;3265;7110;6166;891;-;-;-;118;20123
120060 TARAUACA;3794;4481;7190;7049;1036;-;-;-;1052;24602
120070 XAPURI;861;1474;2477;2090;537;-;-;-;254;7693
120080 PORTO ACRE;275;887;2497;2420;470;-;-;2;114;6665
 MUNICIPIO IGNORADO - AM;10;15;56;62;13;-;-;-;132;288
130002 ALVARAES;248;1294;2918;2853;301;-;-;-;125;7739
130006 AMATURA;356;927;1773;1820;125;-;-;-;37;5038
130008 ANAMA;142;739;1359;2036;179;-;-;-;85;4540
130010 ANORI;55;317;1018;2029;151;-;-;-;2422;5992
130014 APUI;125;508;2318;2210;325;-;-;-;42;5528
130020 ATALAIA DO NORTE;1915;836;2098;1323;213;-;-;-;723;7108
130030 AUTAZES;503;2617;6394;8068;738;-;-;-;350;18670
130040 BARCELOS;2191;648;2295;3258;454;-;-;-;408;9254
130050 BARREIRINHA;440;2032;5878;7077;400;-;-;-;185;16012
130060 BENJAMIN CONSTANT;1038;2609;6715;8238;1485;-;-;-;583;20668
130063 BERURI;737;1810;3376;3511;148;-;-;-;154;9736
130068 BOA VISTA DO RAMOS;119;1108;2937;3645;288;-;-;-;30;8127
130070 BOCA DO ACRE;1886;2118;4597;4988;692;-;-;-;1180;15461
130080 BORBA;798;2728;5466;6556;490;-;-;-;90;16128
130083 CAAPIRANGA;135;529;1409;1721;166;-;-;1;66;4027
130090 CANUTAMA;447;785;1546;1464;195;-;4;-;49;4490
130100 CARAUARI;1149;2146;4215;5424;368;-;-;-;184;13486
130110 CAREIRO;232;981;3553;4187;519;-;-;-;231;9703
130115 CAREIRO DA VARZEA;110;703;1698;2112;211;-;-;-;61;4895
130120 COARI;2137;5294;13268;16465;1921;-;-;-;458;39543
130130 CODAJAS;499;1486;3368;3912;440;-;1;-;208;9914
130140 EIRUNEPE;3386;2350;5199;6187;585;-;-;-;409;18116
130150 ENVIRA;782;1971;2578;2761;238;-;-;-;20;8350
130160 FONTE BOA;954;1867;4308;5158;445;-;-;-;143;12875
130165 GUAJARA;1403;1326;2077;2534;327;-;-;-;80;7747
130170 HUMAITA;1244;2803;7187;9622;1280;-;-;-;345;22481
130180 IPIXUNA;2425;2292;2486;1714;216;-;-;-;198;9331
130185 IRANDUBA;301;1694;7109;8195;1008;-;-;-;255;18562
130190 ITACOATIARA;426;5339;15007;22763;2685;-;-;-;176;46396
130195 ITAMARATI;1019;859;1429;1388;241;-;-;-;63;4999
130200 ITAPIRANGA;25;247;1241;2287;214;-;-;-;162;4176
130210 JAPURA;103;512;1061;1142;116;-;-;-;70;3004
130220 JURUA;599;609;1311;1345;162;-;-;-;85;4111
130230 JUTAI;1241;3319;2965;3321;243;-;-;-;313;11402
130240 LABREA;1013;3208;5136;6380;524;-;-;-;182;16443
130250 MANACAPURU;1423;5925;16095;22065;2666;-;-;-;398;48572
130255 MANAQUIRI;164;549;1799;2467;207;1;1;-;53;5241
130260 MANAUS;4548;36700;234347;478187;126782;2;13;-;13474;894053
130270 MANICORE;1218;3644;6238;7266;665;-;-;-;773;19804
130280 MARAA;474;1287;2553;2835;276;-;-;-;154;7579
130290 MAUES;811;3544;10624;13751;1484;-;-;-;335;30549
130300 NHAMUNDA;166;735;2360;3393;292;-;-;-;807;7753
130310 NOVA OLINDA DO NORTE;462;2676;4687;5186;455;-;-;-;122;13588
130320 NOVO AIRAO;199;718;2442;2720;334;-;-;-;81;6494
130330 NOVO ARIPUANA;283;1658;2639;3353;190;-;-;-;409;8532
130340 PARINTINS;578;4419;14095;25777;4042;-;1;-;292;49204
130350 PAUINI;1067;1562;2591;2022;133;-;-;-;56;7431
130353 PRESIDENTE FIGUEIREDO;207;883;4011;5470;986;-;-;-;177;11734
130356 RIO PRETO DA EVA;100;731;2444;3712;378;-;-;-;485;7850
130360 SANTA ISABEL DO RIO NEGRO;1786;600;1507;2524;145;-;-;-;216;6778
130370 SANTO ANTONIO DO ICA;702;1756;5150;5501;463;-;-;-;79;13651
130380 SAO GABRIEL DA CACHOEIRA;1531;3857;8008;10826;1292;-;-;-;2220;27734
130390 SAO PAULO DE OLIVENCA;1310;2826;5314;7210;536;-;-;-;106;17302
130395 SAO SEBASTIAO DO UATUMA;44;354;1514;1975;211;-;-;-;25;4123
130400 SILVES;49;305;1476;2481;121;-;-;-;26;4458
130406 TABATINGA;1419;4498;10776;14002;2831;-;-;-;401;33927
130410 TAPAUA;1320;1975;3067;2722;339;1;-;-;157;9581
130420 TEFE;1162;4644;11360;16569;2438;-;-;-;3052;39225
130423 TONANTINS;466;1296;2595;3186;456;-;2;-;146;8147
130426 UARINI;396;1335;2391;2551;242;-;-;-;178;7093
130430 URUCARA;54;425;2294;3753;332;-;-;-;69;6927
130440 URUCURITUBA;104;1018;2733;3390;212;-;1;-;30;7488
 MUNICIPIO IGNORADO - RR;-;-;7;15;4;-;-;-;7;33
140002 AMAJARI;2856;360;974;1863;195;-;-;-;531;6779
140005 ALTO ALEGRE;5974;545;1493;2679;452;-;-;-;1451;12594
140010 BOA VISTA;1947;6249;27991;87659;29368;-;-;-;802;154016
140015 BONFIM;309;752;2268;3314;242;1;-;-;448;7334
140017 CANTA;237;598;1883;3637;456;-;-;-;141;6952
140020 CARACARAI;1195;559;2351;3944;657;-;-;-;244;8950
140023 CAROEBE;66;338;1207;1810;316;-;-;-;66;3803
140028 IRACEMA;593;223;793;1361;263;-;-;-;141;3374
140030 MUCAJAI;461;432;1945;3684;690;-;-;-;111;7323
140040 NORMANDIA;288;1042;2321;3722;309;-;-;-;689;8371
140045 PACARAIMA;300;762;2377;3732;627;-;-;-;401;8199
140047 RORAINOPOLIS;147;644;2816;5286;1022;1;-;-;114;10030
140050 SAO JOAO DA BALIZA;55;179;739;1491;357;-;-;-;22;2843
140060 SAO LUIZ;50;148;561;1176;302;-;-;-;40;2277
140070 UIRAMUTA;942;1326;2722;2912;196;-;-;-;1363;9461
 MUNICIPIO IGNORADO - PA;1;8;11;25;16;-;-;-;-;61
150010 ABAETETUBA;1024;6441;19778;27418;5590;-;1;-;1625;61877
150013 ABEL FIGUEIREDO;56;257;1023;1125;154;-;-;-;23;2638
150020 ACARA;996;3670;7895;6891;621;-;-;-;699;20772
150030 AFUA;2568;3701;6716;4674;621;-;-;-;499;18779
150034 AGUA AZUL DO NORTE;75;963;1565;1462;272;-;-;-;151;4488
150040 ALENQUER;1137;5037;11152;10287;1024;-;-;-;78;28715
150050 ALMEIRIM;557;3121;6463;6797;848;-;-;-;205;17991
150060 ALTAMIRA;1711;5259;15734;22191;5260;-;-;-;2766;52921
150070 ANAJAS;1385;4397;5746;3130;461;-;-;-;215;15334
150080 ANANINDEUA;965;11052;54515;94275;28993;-;-;-;13035;202835
150085 ANAPU;342;1793;4491;3620;420;-;-;-;404;11070
150090 AUGUSTO CORREA;644;3731;8816;7586;682;1;-;-;170;21630
150095 AURORA DO PARA;506;1956;3595;2985;508;-;-;-;148;9698
150100 AVEIRO;126;825;2000;1901;203;-;-;-;88;5143
150110 BAGRE;1018;3228;4351;1890;264;-;-;-;311;11062
150120 BAIAO;198;994;3962;5225;1342;-;-;-;252;11973
150125 BANNACH;59;186;435;368;73;-;-;-;25;1146
150130 BARCARENA;376;3518;15163;21072;4831;-;-;-;1402;46362
150140 BELEM;2428;21693;125029;249028;99201;1;7;-;6404;503791
150145 BELTERRA;85;516;2196;2788;350;-;-;-;78;6013
150150 BENEVIDES;115;1321;6589;11052;1897;-;-;-;995;21969
150157 BOM JESUS DO TOCANTINS;160;733;2016;2300;429;-;-;-;48;5686
150160 BONITO;93;816;1825;1426;174;-;-;-;79;4413
150170 BRAGANCA;828;7242;17936;21062;3534;-;-;-;581;51183
150172 BRASIL NOVO;108;776;2533;2807;489;-;-;-;188;6901
150175 BREJO GRANDE DO ARAGUAIA;56;263;875;1141;203;-;-;-;18;2556
150178 BREU BRANCO;428;2267;6960;6844;950;-;-;-;122;17571
150180 BREVES;5458;11735;20813;12626;2155;-;1;-;1403;54191
150190 BUJARU;258;1226;3823;3790;964;-;-;-;1131;11192
150195 CACHOEIRA DO PIRIA;329;1249;2661;2033;194;-;-;-;191;6657
150200 CACHOEIRA DO ARARI;200;761;2426;2421;202;-;-;-;106;6116
150210 CAMETA;1032;7462;19186;22568;3719;-;-;-;4525;58492
150215 CANAA DOS CARAJAS;152;974;4599;11551;1800;-;-;-;83;19159
150220 CAPANEMA;310;2856;8427;11903;2446;-;2;-;516;26460
150230 CAPITAO POCO;701;3714;7383;6246;1489;-;-;-;281;19814
150240 CASTANHAL;484;4656;19751;38588;11830;-;-;-;377;75686
150250 CHAVES;636;1554;2704;1320;127;-;-;-;73;6414
150260 COLARES;45;351;1356;1832;241;-;-;-;97;3922
150270 CONCEICAO DO ARAGUAIA;265;2207;6489;8306;2423;-;-;-;310;20000
150275 CONCORDIA DO PARA;327;1597;4195;3646;554;-;-;-;493;10812
150276 CUMARU DO NORTE;442;450;1006;795;166;-;-;-;139;2998
150277 CURIONOPOLIS;258;1140;2742;3989;478;-;-;-;39;8646
150280 CURRALINHO;513;2350;5209;3478;499;-;-;-;743;12792
150285 CURUA;105;755;1756;2391;186;-;-;-;66;5259
150290 CURUCA;154;1024;4022;4925;523;-;-;-;259;10907
150293 DOM ELISEU;544;2916;6907;6286;1493;-;1;-;569;18716
150295 ELDORADO DOS CARAJAS;369;2207;5570;4351;725;-;-;-;91;13313
150300 FARO;61;364;1319;1470;89;-;-;-;56;3359
150304 FLORESTA DO ARAGUAIA;170;882;2552;2670;406;-;-;-;128;6808
150307 GARRAFAO DO NORTE;843;2739;4076;2715;523;-;1;-;267;11164
150309 GOIANESIA DO PARA;410;2793;6206;4917;737;-;-;-;114;15177
150310 GURUPA;1038;3478;5246;4563;490;-;-;-;661;15476
150320 IGARAPE-ACU;176;1654;4609;5766;1224;-;-;-;125;13554
150330 IGARAPE-MIRI;714;4591;10388;9202;1246;-;-;-;492;26633
150340 INHANGAPI;64;450;1473;1746;257;-;-;-;24;4014
150345 IPIXUNA DO PARA;650;2708;4981;3830;642;-;-;-;160;12971
150350 IRITUIA;341;1847;4702;3943;635;-;1;-;417;11886
150360 ITAITUBA;1238;7166;20450;23867;4194;-;1;-;1278;58194
150370 ITUPIRANGA;978;3958;8216;7051;1057;-;-;-;114;21374
150375 JACAREACANGA;890;2251;2986;3105;235;-;-;-;1485;10952
150380 JACUNDA;597;3752;9325;8110;993;-;-;-;149;22926
150390 JURUTI;136;1697;6846;9582;934;-;-;-;1425;20620
150400 LIMOEIRO DO AJURU;317;1623;3930;3737;615;-;-;-;130;10352
150405 MAE DO RIO;394;2377;5782;5461;984;-;1;-;162;15161
150410 MAGALHAES BARATA;35;267;863;1070;143;-;-;-;76;2454
150420 MARABA;1581;8691;32499;53009;12343;-;2;-;344;108469
150430 MARACANA;154;1432;3605;3578;436;-;-;-;238;9443
150440 MARAPANIM;108;763;2572;3264;298;-;-;-;193;7198
150442 MARITUBA;211;2202;11297;20485;3605;-;1;-;1487;39288
150445 MEDICILANDIA;332;1905;4765;3502;532;-;-;-;176;11212
150450 MELGACO;1839;3636;4087;2095;390;-;-;-;465;12512
150460 MOCAJUBA;249;1582;4581;4566;556;-;-;-;228;11762
150470 MOJU;869;4460;10400;10447;1047;-;-;-;616;27839
150475 MOJUI DOS CAMPOS;7;71;492;1566;198;-;-;-;8;2342
150480 MONTE ALEGRE;270;3181;11358;10204;1614;-;2;-;667;27296
150490 MUANA;366;1813;4814;4214;556;-;-;1;94;11858
150495 NOVA ESPERANCA DO PIRIA;563;2231;3215;1968;314;-;1;-;134;8426
150497 NOVA IPIXUNA;133;653;1903;1739;291;-;-;-;22;4741
150500 NOVA TIMBOTEUA;60;416;1358;1642;245;-;-;-;103;3824
150503 NOVO PROGRESSO;268;870;4238;5113;935;-;-;-;100;11524
150506 NOVO REPARTIMENTO;746;5136;11826;9759;1073;-;1;-;944;29485
150510 OBIDOS;439;2219;9155;10247;781;-;-;-;1261;24102
150520 OEIRAS DO PARA;850;4022;6768;3731;496;-;-;-;271;16138
150530 ORIXIMINA;654;4208;12042;13522;2452;-;1;-;1401;34280
150540 OUREM;174;1147;2772;2454;334;-;-;-;212;7093
150543 OURILANDIA DO NORTE;533;1159;3692;5612;915;-;-;-;146;12057
150548 PACAJA;537;2792;6337;5291;537;-;-;-;338;15832
150549 PALESTINA DO PARA;109;447;1214;1181;181;-;-;-;83;3215
150550 PARAGOMINAS;1137;5957;17658;17609;3603;-;-;-;1177;47141
150553 PARAUAPEBAS;967;5937;21580;52695;9007;-;-;-;254;90440
150555 PAU D'ARCO;111;354;1202;1052;203;-;-;-;34;2956
150560 PEIXE-BOI;34;419;954;1046;134;-;-;-;50;2637
150563 PICARRA;111;599;1408;1304;225;-;-;-;109;3756
150565 PLACAS;123;952;2473;2344;420;-;-;-;60;6372
150570 PONTA DE PEDRAS;177;998;2632;2700;363;-;-;-;231;7101
150580 PORTEL;3218;7089;10453;7306;1148;-;-;-;188;29402
150590 PORTO DE MOZ;762;3222;5815;4277;702;-;-;-;215;14993
150600 PRAINHA;290;2532;6450;4834;509;1;-;-;451;15067
150610 PRIMAVERA;56;701;1897;1466;234;-;-;-;107;4461
150611 QUATIPURU;90;777;1896;1415;164;-;-;-;83;4425
150613 REDENCAO;542;2826;14581;16582;4530;2;-;-;340;39403
150616 RIO MARIA;124;825;2499;3233;650;-;-;-;296;7627
150618 RONDON DO PARA;437;2467;7674;6881;1118;-;-;-;183;18760
150619 RUROPOLIS;223;1467;3729;3779;601;-;-;-;213;10012
150620 SALINOPOLIS;119;1380;5601;7908;963;-;-;-;684;16655
150630 SALVATERRA;47;408;3014;3066;512;-;-;-;268;7315
150635 SANTA BARBARA DO PARA;60;407;2151;3272;499;-;-;-;338;6727
150640 SANTA CRUZ DO ARARI;52;292;772;526;52;-;-;-;55;1749
150650 SANTA IZABEL DO PARA;140;2204;5555;11654;1850;-;-;-;427;21830
150655 SANTA LUZIA DO PARA;225;1274;3277;2756;409;-;-;-;317;8258
150658 SANTA MARIA DAS BARREIRAS;98;489;1518;1478;234;-;-;-;123;3940
150660 SANTA MARIA DO PARA;190;1461;3481;3475;653;-;-;-;991;10251
150670 SANTANA DO ARAGUAIA;270;1287;5646;5920;1076;-;-;-;61;14260
150680 SANTAREM;1282;10507;42269;79168;16713;-;4;-;1644;151587
150690 SANTAREM NOVO;27;282;865;1004;113;-;-;-;59;2350
150700 SANTO ANTONIO DO TAUA;154;1252;3828;5519;504;-;-;-;221;11478
150710 SAO CAETANO DE ODIVELAS;146;540;1997;2111;180;-;-;-;167;5141
150715 SAO DOMINGOS DO ARAGUAIA;235;1473;3827;4085;459;-;-;-;146;10225
150720 SAO DOMINGOS DO CAPIM;506;2514;5316;4647;636;-;-;-;182;13801
150730 SAO FELIX DO XINGU;895;2926;8417;7981;1296;-;-;-;728;22243
150740 SAO FRANCISCO DO PARA;53;529;1779;2453;469;-;-;-;33;5316
150745 SAO GERALDO DO ARAGUAIA;340;2181;4701;4046;631;-;-;-;697;12596
150746 SAO JOAO DA PONTA;20;202;674;758;102;-;-;-;20;1776
150747 SAO JOAO DE PIRABAS;134;936;3133;2715;268;-;-;-;226;7412
150750 SAO JOAO DO ARAGUAIA;159;865;1704;1743;177;-;-;-;57;4705
150760 SAO MIGUEL DO GUAMA;465;3476;8691;8101;1795;-;-;-;890;23418
150770 SAO SEBASTIAO DA BOA VISTA;237;1293;3944;3956;455;1;-;-;205;10091
150775 SAPUCAIA;98;263;856;717;135;-;-;-;73;2142
150780 SENADOR JOSE PORFIRIO;412;1310;2653;1762;242;-;-;-;266;6645
150790 SOURE;80;776;3569;3798;642;-;-;-;244;9109
150795 TAILANDIA;1144;5614;13727;11929;1482;-;-;-;653;34549
150796 TERRA ALTA;19;311;1308;2158;244;-;-;-;47;4087
150797 TERRA SANTA;72;426;2331;3552;390;-;-;-;115;6886
150800 TOME-ACU;510;4204;11191;9965;1311;-;-;-;613;27794
150803 TRACUATEUA;212;1864;5066;4753;497;-;-;-;153;12545
150805 TRAIRAO;144;826;2173;1957;278;-;-;-;61;5439
150808 TUCUMA;157;1820;5476;6706;1170;-;-;-;109;15438
150810 TUCURUI;535;4593;14803;21074;4159;-;-;-;214;45378
150812 ULIANOPOLIS;271;1475;3781;4125;496;-;-;-;64;10212
150815 URUARA;352;3624;6866;6053;1275;-;2;-;521;18693
150820 VIGIA;177;1625;7441;7026;1085;-;-;-;561;17915
150830 VISEU;1202;5419;11136;8130;819;-;-;-;514;27220
150835 VITORIA DO XINGU;127;752;2154;2373;497;-;-;-;176;6079
150840 XINGUARA;297;1986;6795;8446;1964;-;-;-;314;19802
 MUNICIPIO IGNORADO - AP;-;1;3;4;-;-;-;-;-;8
160005 SERRA DO NAVIO;62;168;504;996;165;-;-;-;39;1934
160010 AMAPA;107;437;1534;1540;167;-;-;-;65;3850
160015 PEDRA BRANCA DO AMAPARI;269;538;1323;2020;239;-;-;-;173;4562
160020 CALCOENE;63;420;1453;2000;322;-;-;-;119;4377
160021 CUTIAS;59;211;738;890;135;-;-;-;48;2081
160023 FERREIRA GOMES;106;320;1069;1449;196;-;3;-;62;3205
160025 ITAUBAL;92;282;779;956;127;-;-;-;51;2287
160027 LARANJAL DO JARI;372;2175;6712;9697;783;-;-;-;392;20131
160030 MACAPA;4739;12536;48644;100039;38268;-;1;1;1620;205848
160040 MAZAGAO;676;1523;3431;3675;597;-;-;-;107;10009
160050 OIAPOQUE;372;1191;3838;4193;577;5;5;6;487;10674
160053 PORTO GRANDE;243;712;2644;3441;640;-;-;-;93;7773
160055 PRACUUBA;44;182;585;732;74;-;-;-;41;1658
160060 SANTANA;1387;3713;13046;25895;7359;-;-;-;281;51681
160070 TARTARUGALZINHO;216;730;2232;2397;257;-;-;-;343;6175
160080 VITORIA DO JARI;217;1084;2314;2525;197;-;-;-;64;6401
 MUNICIPIO IGNORADO - TO;1;1;17;21;12;-;-;-;1;53
170025 ABREULANDIA;11;57;261;431;73;-;2;-;9;844
170030 AGUIARNOPOLIS;30;137;548;880;142;-;-;-;16;1753
170035 ALIANCA DO TOCANTINS;14;119;520;1073;239;-;-;-;15;1980
170040 ALMAS;100;435;1148;1380;209;-;-;-;36;3308
170070 ALVORADA;26;195;723;1526;391;-;-;-;35;2896
170100 ANANAS;81;395;1297;2292;504;-;-;-;20;4589
170105 ANGICO;24;74;288;528;153;-;-;-;3;1070
170110 APARECIDA DO RIO NEGRO;15;126;469;901;125;-;-;-;6;1642
170130 ARAGOMINAS;40;193;601;892;219;-;-;-;5;1950
170190 ARAGUACEMA;45;212;725;1171;183;-;-;-;30;2366
170200 ARAGUACU;30;186;827;1299;422;-;-;-;63;2827
170210 ARAGUAINA;314;2467;12953;37051;15935;-;-;1;65;68786
170215 ARAGUANA;63;224;795;906;149;-;-;-;22;2159
170220 ARAGUATINS;260;1712;4199;5978;1336;-;-;-;148;13633
170230 ARAPOEMA;112;363;879;1226;305;-;-;-;30;2915
170240 ARRAIAS;164;689;1319;1261;659;-;1;-;134;4227
170255 AUGUSTINOPOLIS;139;1068;2233;3761;858;-;1;1;75;8136
170270 AURORA DO TOCANTINS;13;88;301;423;141;-;-;-;8;974
170290 AXIXA DO TOCANTINS;140;725;1559;2394;365;-;-;-;34;5217
170300 BABACULANDIA;53;289;873;1395;282;-;-;-;41;2933
170305 BANDEIRANTES DO TOCANTINS;11;102;264;499;203;-;-;-;13;1092
170307 BARRA DO OURO;37;209;580;813;139;-;-;-;23;1801
170310 BARROLANDIA;13;119;655;911;168;-;-;-;8;1874
170320 BERNARDO SAYAO;16;132;403;681;211;-;-;-;29;1472
170330 BOM JESUS DO TOCANTINS;19;174;504;766;90;-;-;-;21;1574
170360 BRASILANDIA DO TOCANTINS;6;55;218;313;119;-;-;-;15;726
170370 BREJINHO DE NAZARE;26;108;550;1028;227;-;-;-;7;1946
170380 BURITI DO TOCANTINS;101;504;1069;1928;278;-;-;-;36;3916
170382 CACHOEIRINHA;15;75;195;398;106;-;-;-;8;797
170384 CAMPOS LINDOS;82;403;1020;1322;199;-;-;-;31;3057
170386 CARIRI DO TOCANTINS;7;62;289;615;153;-;-;-;7;1133
170388 CARMOLANDIA;16;80;266;507;111;-;-;-;-;980
170389 CARRASCO BONITO;60;271;554;731;92;-;-;-;21;1729
170390 CASEARA;21;158;510;965;152;-;-;-;14;1820
170410 CENTENARIO;38;116;306;288;43;-;-;-;10;801
170460 CHAPADA DE AREIA;4;24;135;225;22;-;-;-;2;412
170510 CHAPADA DA NATIVIDADE;38;127;392;489;80;-;-;-;16;1142
170550 COLINAS DO TOCANTINS;207;1033;4143;5920;2997;-;-;-;332;14632
170555 COMBINADO;15;135;449;828;246;-;-;-;35;1708
170560 CONCEICAO DO TOCANTINS;122;303;584;458;146;-;1;-;41;1655
170600 COUTO MAGALHAES;25;175;516;734;175;-;-;-;32;1657
170610 CRISTALANDIA;30;175;760;1154;292;-;1;-;20;2432
170625 CRIXAS DO TOCANTINS;1;22;108;277;70;-;-;-;2;480
170650 DARCINOPOLIS;26;211;734;1078;159;-;-;-;6;2214
170700 DIANOPOLIS;135;698;2491;3822;820;-;-;-;62;8028
170710 DIVINOPOLIS DO TOCANTINS;29;165;725;1314;230;-;-;-;16;2479
170720 DOIS IRMAOS DO TOCANTINS;12;117;587;812;128;-;-;-;29;1685
170730 DUERE;14;87;439;827;142;-;-;-;26;1535
170740 ESPERANTINA;179;697;1494;1542;196;-;-;-;75;4183
170755 FATIMA;17;87;360;751;166;-;-;-;1;1382
170765 FIGUEIROPOLIS;15;100;493;918;236;-;-;-;12;1774
170770 FILADELFIA;77;368;938;1301;247;-;-;-;25;2956
170820 FORMOSO DO ARAGUAIA;154;718;2569;3411;818;-;-;-;79;7749
170825 FORTALEZA DO TABOCAO;8;63;322;560;147;-;-;-;8;1108
170830 GOIANORTE;23;162;529;668;143;-;-;-;10;1535
170900 GOIATINS;472;1036;2015;2072;340;-;-;-;173;6108
